OA,ts0200001,ts0200002,ts0200003,ts0200002_PCT,ts0200003_PCT
E00044423,0,0,0,NA,NA
E00044389,0,0,0,NA,NA
E00044390,0,0,0,NA,NA
E00044391,0,0,0,NA,NA
E00044392,0,0,0,NA,NA
E00044422,0,0,0,NA,NA
E00044424,0,0,0,NA,NA
E00044386,0,0,0,NA,NA
E00044387,0,0,0,NA,NA
E00044393,0,0,0,NA,NA
E00044395,0,0,0,NA,NA
E00044421,0,0,0,NA,NA
E00044399,0,0,0,NA,NA
E00044401,0,0,0,NA,NA
E00044403,0,0,0,NA,NA
E00044404,0,0,0,NA,NA
E00044408,0,0,0,NA,NA
E00044409,0,0,0,NA,NA
E00044385,0,0,0,NA,NA
E00044407,0,0,0,NA,NA
E00044412,0,0,0,NA,NA
E00044413,0,0,0,NA,NA
E00044416,0,0,0,NA,NA
E00182874,0,0,0,NA,NA
E00182890,0,0,0,NA,NA
E00182910,0,0,0,NA,NA
E00044405,0,0,0,NA,NA
E00044406,0,0,0,NA,NA
E00044410,0,0,0,NA,NA
E00044411,0,0,0,NA,NA
E00182904,0,0,0,NA,NA
E00182906,0,0,0,NA,NA
E00044414,0,0,0,NA,NA
E00044415,0,0,0,NA,NA
E00044417,0,0,0,NA,NA
E00044419,0,0,0,NA,NA
E00044420,0,0,0,NA,NA
E00182870,0,0,0,NA,NA
E00182880,0,0,0,NA,NA
E00182908,0,0,0,NA,NA
