OA,ts0210001,ts0210002,ts0210003,ts0210004,ts0210005,ts0210006,ts0210007,ts0210008,ts0210009,ts0210010,ts0210011,ts0210012,ts0210013,ts0210014,ts0210015,ts0210016,ts0210017,ts0210018,ts0210019,ts0210020,ts0210021,ts0210022,ts0210023,ts0210024,ts0210025,ts0210002_PCT,ts0210003_PCT,ts0210004_PCT,ts0210005_PCT,ts0210006_PCT,ts0210007_PCT,ts0210008_PCT,ts0210009_PCT,ts0210010_PCT,ts0210011_PCT,ts0210012_PCT,ts0210013_PCT,ts0210014_PCT,ts0210015_PCT,ts0210016_PCT,ts0210017_PCT,ts0210018_PCT,ts0210019_PCT,ts0210020_PCT,ts0210021_PCT,ts0210022_PCT,ts0210023_PCT,ts0210024_PCT,ts0210025_PCT
W00003003,301,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,298,293,1,0,0,4,2,0,2,0.33222591362126247,0,0,0,0,0.33222591362126247,0,0,0,0,0,0,0,0,0,99.00332225913621,97.34219269102991,0.33222591362126247,0,0,1.3289036544850499,0.6644518272425249,0,0.6644518272425249
W00003004,259,1,0,0,0,0,1,0,0,0,0,3,2,0,0,1,254,248,0,5,0,1,1,0,1,0.3861003861003861,0,0,0,0,0.3861003861003861,0,0,0,0,1.1583011583011582,0.7722007722007722,0,0,0.3861003861003861,98.06949806949807,95.75289575289575,0,1.9305019305019304,0,0.3861003861003861,0.3861003861003861,0,0.3861003861003861
W00003005,258,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,255,252,0,0,0,3,0,0,0,0.3875968992248062,0,0,0,0,0.3875968992248062,0,0,0,0,0.7751937984496124,0,0.3875968992248062,0,0.3875968992248062,98.83720930232558,97.67441860465115,0,0,0,1.1627906976744187,0,0,0
W00003006,380,16,0,0,1,0,15,0,0,0,0,7,4,0,1,2,355,341,0,2,0,12,2,0,2,4.2105263157894735,0,0,0.2631578947368421,0,3.9473684210526314,0,0,0,0,1.8421052631578945,1.0526315789473684,0,0.2631578947368421,0.5263157894736842,93.42105263157895,89.73684210526316,0,0.5263157894736842,0,3.1578947368421053,0.5263157894736842,0,0.5263157894736842
W00003007,376,6,0,0,4,0,2,0,0,0,0,2,2,0,0,0,368,358,0,0,0,10,0,0,0,1.5957446808510638,0,0,1.0638297872340425,0,0.5319148936170213,0,0,0,0,0.5319148936170213,0.5319148936170213,0,0,0,97.87234042553192,95.2127659574468,0,0,0,2.6595744680851063,0,0,0
W00003008,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,99.57983193277312,0.42016806722689076,0,0,0,0,0,0
W00003009,328,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,321,310,1,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,1.8292682926829267,0.9146341463414633,0.9146341463414633,0,0,97.86585365853658,94.51219512195121,0.3048780487804878,0,0,3.048780487804878,0.3048780487804878,0,0.3048780487804878
W00003010,385,2,0,0,0,0,2,0,0,0,0,1,0,1,0,0,381,379,2,0,0,0,1,0,1,0.5194805194805194,0,0,0,0,0.5194805194805194,0,0,0,0,0.2597402597402597,0,0.2597402597402597,0,0,98.96103896103897,98.44155844155844,0.5194805194805194,0,0,0,0.2597402597402597,0,0.2597402597402597
W00003011,333,2,0,0,2,0,0,0,0,0,0,3,3,0,0,0,328,318,6,0,0,4,0,0,0,0.6006006006006006,0,0,0.6006006006006006,0,0,0,0,0,0,0.9009009009009009,0.9009009009009009,0,0,0,98.49849849849849,95.4954954954955,1.8018018018018018,0,0,1.2012012012012012,0,0,0
W00003012,324,4,1,0,2,0,1,0,0,0,0,2,1,0,1,0,312,302,9,0,0,1,6,5,1,1.2345679012345678,0.30864197530864196,0,0.6172839506172839,0,0.30864197530864196,0,0,0,0,0.6172839506172839,0.30864197530864196,0,0.30864197530864196,0,96.29629629629629,93.20987654320987,2.7777777777777777,0,0,0.30864197530864196,1.8518518518518516,1.5432098765432098,0.30864197530864196
