OA,ts0180001,ts0180002,ts0180003,ts0180004,ts0180005,ts0180006,ts0180007,ts0180008,ts0180009,ts0180010,ts0180011,ts0180012,ts0180013,ts0180014,ts0180015,ts0180016,ts0180017,ts0180018,ts0180019,ts0180002_PCT,ts0180003_PCT,ts0180004_PCT,ts0180005_PCT,ts0180006_PCT,ts0180007_PCT,ts0180008_PCT,ts0180009_PCT,ts0180010_PCT,ts0180011_PCT,ts0180012_PCT,ts0180013_PCT,ts0180014_PCT,ts0180015_PCT,ts0180016_PCT,ts0180017_PCT,ts0180018_PCT,ts0180019_PCT
W00002016,305,293,12,5,0,0,0,0,1,0,1,1,4,0,0,0,0,0,0,96.06557377049181,3.934426229508197,1.639344262295082,0,0,0,0,0.32786885245901637,0,0.32786885245901637,0.32786885245901637,1.3114754098360655,0,0,0,0,0,0
W00002020,395,380,15,4,1,0,1,0,1,0,2,3,3,0,0,0,0,0,0,96.20253164556962,3.79746835443038,1.0126582278481013,0.25316455696202533,0,0.25316455696202533,0,0.25316455696202533,0,0.5063291139240507,0.7594936708860759,0.7594936708860759,0,0,0,0,0,0
W00010042,428,410,18,3,2,1,3,1,1,0,0,4,2,1,0,0,0,0,0,95.7943925233645,4.205607476635514,0.7009345794392523,0.46728971962616817,0.23364485981308408,0.7009345794392523,0.23364485981308408,0.23364485981308408,0,0,0.9345794392523363,0.46728971962616817,0.23364485981308408,0,0,0,0,0
W00002017,225,212,13,2,0,0,0,1,0,1,5,3,0,1,0,0,0,0,0,94.22222222222221,5.777777777777778,0.8888888888888888,0,0,0,0.4444444444444444,0,0.4444444444444444,2.2222222222222223,1.3333333333333335,0,0.4444444444444444,0,0,0,0,0
W00002018,305,294,11,1,0,0,1,0,0,0,5,3,1,0,0,0,0,0,0,96.39344262295081,3.606557377049181,0.32786885245901637,0,0,0.32786885245901637,0,0,0,1.639344262295082,0.9836065573770493,0.32786885245901637,0,0,0,0,0,0
W00002019,489,443,46,5,5,4,2,0,2,3,9,7,8,1,0,0,0,0,0,90.59304703476482,9.406952965235174,1.0224948875255624,1.0224948875255624,0.81799591002045,0.408997955010225,0,0.408997955010225,0.6134969325153374,1.8404907975460123,1.4314928425357873,1.6359918200409,0.2044989775051125,0,0,0,0,0
W00002021,293,276,17,5,1,0,1,0,0,0,3,1,6,0,0,0,0,0,0,94.19795221843003,5.802047781569966,1.7064846416382253,0.3412969283276451,0,0.3412969283276451,0,0,0,1.023890784982935,0.3412969283276451,2.04778156996587,0,0,0,0,0,0
W00002023,303,294,9,1,0,0,1,0,1,0,3,2,1,0,0,0,0,0,0,97.02970297029702,2.9702970297029703,0.33003300330033003,0,0,0.33003300330033003,0,0.33003300330033003,0,0.9900990099009901,0.6600660066006601,0.33003300330033003,0,0,0,0,0,0
W00002024,287,276,11,2,0,0,1,0,0,0,4,2,0,2,0,0,0,0,0,96.16724738675958,3.8327526132404177,0.6968641114982579,0,0,0.34843205574912894,0,0,0,1.3937282229965158,0.6968641114982579,0,0.6968641114982579,0,0,0,0,0
W00002025,255,243,12,2,0,0,0,0,0,0,3,1,4,1,1,0,0,0,0,95.29411764705881,4.705882352941177,0.7843137254901961,0,0,0,0,0,0,1.1764705882352942,0.39215686274509803,1.5686274509803921,0.39215686274509803,0.39215686274509803,0,0,0,0
W00002026,312,305,7,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,97.75641025641025,2.2435897435897436,0.3205128205128205,0.641025641025641,0,0,0,0,0,0,0.641025641025641,0.641025641025641,0,0,0,0,0,0
W00002027,218,198,20,2,1,2,0,0,0,3,2,3,6,1,0,0,0,0,0,90.82568807339449,9.174311926605505,0.9174311926605505,0.45871559633027525,0.9174311926605505,0,0,0,1.3761467889908259,0.9174311926605505,1.3761467889908259,2.7522935779816518,0.45871559633027525,0,0,0,0,0
W00002031,252,235,17,2,1,0,1,1,0,1,0,2,8,0,1,0,0,0,0,93.25396825396825,6.746031746031746,0.7936507936507936,0.3968253968253968,0,0.3968253968253968,0.3968253968253968,0,0.3968253968253968,0,0.7936507936507936,3.1746031746031744,0,0.3968253968253968,0,0,0,0
W00002022,561,551,10,1,0,0,0,0,0,2,2,2,2,0,0,1,0,0,0,98.2174688057041,1.7825311942959003,0.17825311942959002,0,0,0,0,0,0.35650623885918004,0.35650623885918004,0.35650623885918004,0.35650623885918004,0,0,0.17825311942959002,0,0,0
W00002028,283,278,5,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,98.23321554770318,1.76678445229682,0.35335689045936397,0,0,0,0,0,0,0.7067137809187279,0.7067137809187279,0,0,0,0,0,0,0
W00002029,282,265,17,4,1,1,1,0,0,0,2,2,6,0,0,0,0,0,0,93.97163120567376,6.028368794326241,1.4184397163120568,0.3546099290780142,0.3546099290780142,0.3546099290780142,0,0,0,0.7092198581560284,0.7092198581560284,2.127659574468085,0,0,0,0,0,0
W00002030,346,315,31,2,2,0,3,3,0,2,6,3,7,2,0,0,1,0,0,91.04046242774567,8.959537572254336,0.5780346820809248,0.5780346820809248,0,0.8670520231213872,0.8670520231213872,0,0.5780346820809248,1.7341040462427744,0.8670520231213872,2.023121387283237,0.5780346820809248,0,0,0.2890173410404624,0,0
W00001884,263,243,20,3,0,0,2,0,1,1,7,3,2,0,0,1,0,0,0,92.39543726235742,7.604562737642586,1.1406844106463878,0,0,0.7604562737642585,0,0.38022813688212925,0.38022813688212925,2.6615969581749046,1.1406844106463878,0.7604562737642585,0,0,0.38022813688212925,0,0,0
W00001885,264,250,14,5,1,1,1,0,0,1,2,0,3,0,0,0,0,0,0,94.6969696969697,5.303030303030303,1.893939393939394,0.3787878787878788,0.3787878787878788,0.3787878787878788,0,0,0.3787878787878788,0.7575757575757576,0,1.1363636363636365,0,0,0,0,0,0
