OA,ts007a0001,ts007a0002,ts007a0003,ts007a0004,ts007a0005,ts007a0006,ts007a0007,ts007a0008,ts007a0009,ts007a0010,ts007a0011,ts007a0012,ts007a0013,ts007a0014,ts007a0015,ts007a0016,ts007a0017,ts007a0018,ts007a0019,ts007a0002_PCT,ts007a0003_PCT,ts007a0004_PCT,ts007a0005_PCT,ts007a0006_PCT,ts007a0007_PCT,ts007a0008_PCT,ts007a0009_PCT,ts007a0010_PCT,ts007a0011_PCT,ts007a0012_PCT,ts007a0013_PCT,ts007a0014_PCT,ts007a0015_PCT,ts007a0016_PCT,ts007a0017_PCT,ts007a0018_PCT,ts007a0019_PCT
E00098808,266,11,12,13,6,8,8,8,16,12,11,23,28,22,18,21,17,17,15,4.135338345864661,4.511278195488721,4.887218045112782,2.2556390977443606,3.007518796992481,3.007518796992481,3.007518796992481,6.015037593984962,4.511278195488721,4.135338345864661,8.646616541353383,10.526315789473683,8.270676691729323,6.7669172932330826,7.894736842105263,6.390977443609022,6.390977443609022,5.639097744360902
E00098809,537,26,48,26,26,23,29,24,34,30,35,44,42,29,32,21,32,13,23,4.8417132216014895,8.938547486033519,4.8417132216014895,4.8417132216014895,4.283054003724395,5.400372439478584,4.4692737430167595,6.33147113594041,5.58659217877095,6.517690875232775,8.193668528864059,7.82122905027933,5.400372439478584,5.95903165735568,3.910614525139665,5.95903165735568,2.4208566108007448,4.283054003724395
E00098810,279,15,13,14,21,6,19,20,9,9,25,19,30,20,17,19,10,6,7,5.376344086021505,4.659498207885305,5.017921146953405,7.526881720430108,2.1505376344086025,6.810035842293908,7.168458781362006,3.225806451612903,3.225806451612903,8.960573476702509,6.810035842293908,10.75268817204301,7.168458781362006,6.093189964157706,6.810035842293908,3.584229390681003,2.1505376344086025,2.5089605734767026
E00098811,260,11,10,8,8,12,18,9,14,5,12,27,26,41,28,13,5,7,6,4.230769230769231,3.8461538461538463,3.076923076923077,3.076923076923077,4.615384615384616,6.923076923076923,3.4615384615384617,5.384615384615385,1.9230769230769231,4.615384615384616,10.384615384615385,10,15.769230769230768,10.76923076923077,5,1.9230769230769231,2.6923076923076925,2.307692307692308
E00098812,235,9,3,11,5,9,19,11,5,10,20,23,34,15,25,11,7,9,9,3.829787234042553,1.276595744680851,4.680851063829787,2.127659574468085,3.829787234042553,8.085106382978724,4.680851063829787,2.127659574468085,4.25531914893617,8.51063829787234,9.787234042553191,14.468085106382977,6.382978723404255,10.638297872340425,4.680851063829787,2.9787234042553195,3.829787234042553,3.829787234042553
E00098813,243,5,4,15,24,8,16,8,14,30,19,22,13,23,12,17,6,3,4,2.05761316872428,1.646090534979424,6.172839506172839,9.876543209876543,3.292181069958848,6.584362139917696,3.292181069958848,5.761316872427984,12.345679012345679,7.818930041152264,9.053497942386832,5.349794238683128,9.465020576131687,4.938271604938271,6.995884773662551,2.4691358024691357,1.2345679012345678,1.646090534979424
E00098814,228,9,13,10,8,10,5,7,13,14,8,17,17,12,14,20,15,18,18,3.9473684210526314,5.701754385964912,4.385964912280701,3.508771929824561,4.385964912280701,2.1929824561403506,3.070175438596491,5.701754385964912,6.140350877192982,3.508771929824561,7.456140350877193,7.456140350877193,5.263157894736842,6.140350877192982,8.771929824561402,6.578947368421052,7.894736842105263,7.894736842105263
E00098815,350,11,26,14,16,10,12,21,16,23,19,25,27,33,23,21,18,12,23,3.1428571428571432,7.428571428571429,4,4.571428571428571,2.857142857142857,3.428571428571429,6,4.571428571428571,6.571428571428571,5.428571428571429,7.142857142857142,7.7142857142857135,9.428571428571429,6.571428571428571,6,5.142857142857142,3.428571428571429,6.571428571428571
E00098816,284,14,21,4,9,5,17,29,19,16,11,21,17,22,16,18,21,19,5,4.929577464788732,7.394366197183098,1.4084507042253522,3.169014084507042,1.7605633802816902,5.985915492957746,10.211267605633804,6.690140845070422,5.633802816901409,3.873239436619718,7.394366197183098,5.985915492957746,7.746478873239436,5.633802816901409,6.338028169014084,7.394366197183098,6.690140845070422,1.7605633802816902
E00098817,313,9,15,16,13,15,24,23,17,30,22,37,25,19,16,10,8,9,5,2.8753993610223643,4.792332268370607,5.111821086261981,4.15335463258786,4.792332268370607,7.667731629392971,7.348242811501597,5.431309904153355,9.584664536741213,7.0287539936102235,11.821086261980831,7.987220447284344,6.070287539936102,5.111821086261981,3.1948881789137378,2.5559105431309903,2.8753993610223643,1.5974440894568689
E00098818,238,17,10,10,17,9,14,19,15,11,6,10,19,15,8,14,17,12,15,7.142857142857142,4.201680672268908,4.201680672268908,7.142857142857142,3.7815126050420167,5.88235294117647,7.9831932773109235,6.302521008403361,4.621848739495799,2.5210084033613445,4.201680672268908,7.9831932773109235,6.302521008403361,3.361344537815126,5.88235294117647,7.142857142857142,5.042016806722689,6.302521008403361
E00098819,229,8,10,4,5,15,24,16,11,12,18,18,30,19,19,12,5,1,2,3.4934497816593884,4.366812227074235,1.7467248908296942,2.1834061135371177,6.550218340611353,10.480349344978166,6.986899563318777,4.8034934497816595,5.240174672489083,7.860262008733625,7.860262008733625,13.100436681222707,8.296943231441048,8.296943231441048,5.240174672489083,2.1834061135371177,0.43668122270742354,0.8733624454148471
E00098820,299,18,14,19,11,12,13,15,14,10,20,23,37,21,25,16,11,9,11,6.0200668896321075,4.682274247491638,6.354515050167224,3.678929765886288,4.013377926421405,4.3478260869565215,5.016722408026756,4.682274247491638,3.3444816053511706,6.688963210702341,7.6923076923076925,12.37458193979933,7.023411371237458,8.361204013377927,5.351170568561873,3.678929765886288,3.0100334448160537,3.678929765886288
E00098821,277,11,13,7,11,9,18,16,14,14,19,16,19,30,16,19,14,10,21,3.9711191335740073,4.693140794223827,2.527075812274368,3.9711191335740073,3.2490974729241873,6.4981949458483745,5.776173285198556,5.054151624548736,5.054151624548736,6.859205776173286,5.776173285198556,6.859205776173286,10.830324909747292,5.776173285198556,6.859205776173286,5.054151624548736,3.6101083032490973,7.581227436823104
E00098822,327,7,10,13,15,21,26,22,20,21,24,25,26,19,14,19,13,10,22,2.1406727828746175,3.058103975535168,3.9755351681957185,4.587155963302752,6.422018348623854,7.951070336391437,6.727828746177369,6.116207951070336,6.422018348623854,7.339449541284404,7.64525993883792,7.951070336391437,5.81039755351682,4.281345565749235,5.81039755351682,3.9755351681957185,3.058103975535168,6.727828746177369
E00098824,322,11,18,31,19,10,17,14,12,26,25,20,32,15,25,19,13,8,7,3.4161490683229814,5.590062111801243,9.627329192546584,5.900621118012422,3.1055900621118013,5.279503105590062,4.3478260869565215,3.7267080745341614,8.074534161490684,7.763975155279502,6.211180124223603,9.937888198757763,4.658385093167702,7.763975155279502,5.900621118012422,4.037267080745342,2.484472049689441,2.1739130434782608
E00098825,282,11,18,19,12,16,18,21,24,15,24,14,26,24,13,13,7,5,2,3.900709219858156,6.382978723404255,6.73758865248227,4.25531914893617,5.673758865248227,6.382978723404255,7.446808510638298,8.51063829787234,5.319148936170213,8.51063829787234,4.964539007092199,9.219858156028367,8.51063829787234,4.609929078014184,4.609929078014184,2.4822695035460995,1.773049645390071,0.7092198581560284
E00098826,304,12,12,21,25,27,25,29,28,17,19,19,17,22,12,11,5,3,0,3.9473684210526314,3.9473684210526314,6.907894736842106,8.223684210526317,8.881578947368421,8.223684210526317,9.539473684210527,9.210526315789473,5.592105263157895,6.25,6.25,5.592105263157895,7.236842105263158,3.9473684210526314,3.618421052631579,1.644736842105263,0.9868421052631579,0
E00098827,275,11,11,26,20,11,16,14,11,18,25,16,24,19,20,10,11,8,4,4,4,9.454545454545455,7.2727272727272725,4,5.818181818181818,5.090909090909091,4,6.545454545454546,9.090909090909092,5.818181818181818,8.727272727272728,6.909090909090909,7.2727272727272725,3.6363636363636362,4,2.909090909090909,1.4545454545454546
E00098828,283,11,13,21,13,16,33,15,23,15,24,24,23,18,13,13,5,2,1,3.8869257950530036,4.593639575971731,7.420494699646643,4.593639575971731,5.6537102473498235,11.66077738515901,5.30035335689046,8.12720848056537,5.30035335689046,8.480565371024735,8.480565371024735,8.12720848056537,6.36042402826855,4.593639575971731,4.593639575971731,1.76678445229682,0.7067137809187279,0.35335689045936397
E00098829,227,6,5,6,9,11,6,7,8,16,11,19,13,20,20,17,22,15,16,2.643171806167401,2.2026431718061676,2.643171806167401,3.9647577092511015,4.845814977973569,2.643171806167401,3.0837004405286343,3.524229074889868,7.048458149779736,4.845814977973569,8.370044052863436,5.726872246696035,8.81057268722467,8.81057268722467,7.488986784140969,9.691629955947137,6.607929515418502,7.048458149779736
E00098830,242,10,8,8,7,15,17,24,14,7,11,18,28,21,13,19,13,6,3,4.132231404958678,3.3057851239669422,3.3057851239669422,2.8925619834710745,6.198347107438017,7.024793388429752,9.917355371900827,5.785123966942149,2.8925619834710745,4.545454545454546,7.43801652892562,11.570247933884298,8.677685950413224,5.371900826446281,7.851239669421488,5.371900826446281,2.479338842975207,1.2396694214876034
E00098832,199,0,0,3,1,3,0,3,3,6,7,9,16,19,26,43,25,22,13,0,0,1.507537688442211,0.5025125628140703,1.507537688442211,0,1.507537688442211,1.507537688442211,3.015075376884422,3.5175879396984926,4.522613065326634,8.040201005025125,9.547738693467336,13.06532663316583,21.608040201005025,12.562814070351758,11.055276381909549,6.532663316582915
E00098833,296,8,12,14,15,5,13,13,10,12,14,13,30,23,36,28,23,7,20,2.7027027027027026,4.054054054054054,4.72972972972973,5.0675675675675675,1.6891891891891893,4.391891891891892,4.391891891891892,3.3783783783783785,4.054054054054054,4.72972972972973,4.391891891891892,10.135135135135135,7.77027027027027,12.162162162162163,9.45945945945946,7.77027027027027,2.364864864864865,6.756756756756757
E00098834,296,19,37,19,15,12,18,15,24,15,12,13,23,10,9,14,23,12,6,6.418918918918918,12.5,6.418918918918918,5.0675675675675675,4.054054054054054,6.081081081081082,5.0675675675675675,8.108108108108109,5.0675675675675675,4.054054054054054,4.391891891891892,7.77027027027027,3.3783783783783785,3.040540540540541,4.72972972972973,7.77027027027027,4.054054054054054,2.027027027027027
E00098835,272,16,17,15,14,18,20,21,18,19,14,21,27,17,10,9,7,5,4,5.88235294117647,6.25,5.514705882352941,5.147058823529411,6.61764705882353,7.352941176470589,7.720588235294118,6.61764705882353,6.985294117647059,5.147058823529411,7.720588235294118,9.926470588235293,6.25,3.6764705882352944,3.308823529411765,2.5735294117647056,1.8382352941176472,1.4705882352941175
