OA,ts0190001,ts0190002,ts0190003,ts0190004,ts0190005,ts0190002_PCT,ts0190003_PCT,ts0190004_PCT,ts0190005_PCT
W00007632,256,231,0,23,2,90.234375,0,8.984375,0.78125
W00007634,474,425,0,49,0,89.66244725738397,0,10.337552742616033,0
W00007624,156,146,0,10,0,93.58974358974359,0,6.41025641025641,0
W00007625,304,290,0,14,0,95.39473684210526,0,4.605263157894736,0
W00007626,300,278,0,22,0,92.66666666666666,0,7.333333333333333,0
W00007628,253,220,1,32,0,86.95652173913044,0.3952569169960474,12.648221343873518,0
W00007633,236,226,1,9,0,95.76271186440678,0.423728813559322,3.8135593220338984,0
W00007509,302,298,1,3,0,98.67549668874173,0.33112582781456956,0.9933774834437087,0
W00007511,247,223,1,23,0,90.2834008097166,0.4048582995951417,9.31174089068826,0
W00007512,299,287,0,12,0,95.9866220735786,0,4.013377926421405,0
W00007515,207,185,0,22,0,89.3719806763285,0,10.628019323671497,0
W00007516,285,265,0,20,0,92.98245614035088,0,7.017543859649122,0
