OA,ts0040001,ts0040002,ts0040003,ts0040004,ts0040005,ts0040006,ts0040007,ts0040008,ts0040009,ts0040010,ts0040011,ts0040012,ts0040013,ts0040014,ts0040015,ts0040002_PCT,ts0040003_PCT,ts0040004_PCT,ts0040005_PCT,ts0040006_PCT,ts0040007_PCT,ts0040008_PCT,ts0040009_PCT,ts0040010_PCT,ts0040011_PCT,ts0040012_PCT,ts0040013_PCT,ts0040014_PCT,ts0040015_PCT
W00010301,401,378,366,11,4,6,1,0,1,1,4,19,0,0,0,94.2643391521197,91.2718204488778,2.7431421446384037,0.997506234413965,1.4962593516209477,0.24937655860349126,0,0.24937655860349126,0.24937655860349126,0.997506234413965,4.738154613466334,0,0,0
W00010302,213,212,208,4,1,2,0,1,0,0,0,0,1,0,0,99.53051643192488,97.65258215962442,1.8779342723004695,0.4694835680751174,0.9389671361502347,0,0.4694835680751174,0,0,0,0,0.4694835680751174,0,0
W00006769,269,263,253,10,7,2,1,0,0,0,3,2,0,1,0,97.76951672862454,94.05204460966543,3.717472118959108,2.6022304832713754,0.7434944237918215,0.37174721189591076,0,0,0,1.1152416356877324,0.7434944237918215,0,0.37174721189591076,0
W00006774,436,431,416,15,11,4,0,0,0,0,5,0,0,0,0,98.85321100917432,95.41284403669725,3.4403669724770642,2.522935779816514,0.9174311926605505,0,0,0,0,1.146788990825688,0,0,0,0
W00006776,401,399,392,5,2,3,0,0,2,2,0,2,0,0,0,99.50124688279301,97.75561097256858,1.2468827930174564,0.4987531172069825,0.7481296758104738,0,0,0.4987531172069825,0.4987531172069825,0,0.4987531172069825,0,0,0
W00006779,565,552,545,7,4,3,0,0,0,0,1,11,1,0,0,97.69911504424779,96.46017699115043,1.238938053097345,0.7079646017699115,0.5309734513274336,0,0,0,0,0.17699115044247787,1.9469026548672566,0.17699115044247787,0,0
W00006842,313,301,243,57,19,25,13,0,1,1,3,8,1,0,0,96.1661341853035,77.63578274760383,18.210862619808307,6.070287539936102,7.987220447284344,4.15335463258786,0,0.3194888178913738,0.3194888178913738,0.9584664536741214,2.5559105431309903,0.3194888178913738,0,0
W00006844,344,339,317,21,4,13,4,0,1,1,0,4,1,0,0,98.54651162790698,92.15116279069767,6.104651162790697,1.1627906976744187,3.77906976744186,1.1627906976744187,0,0.29069767441860467,0.29069767441860467,0,1.1627906976744187,0.29069767441860467,0,0
W00006845,291,282,273,8,5,3,0,0,1,1,1,7,1,0,0,96.90721649484536,93.81443298969072,2.7491408934707904,1.718213058419244,1.0309278350515463,0,0,0.3436426116838488,0.3436426116838488,0.3436426116838488,2.405498281786942,0.3436426116838488,0,0
W00006853,277,273,267,4,3,0,1,0,2,2,4,0,0,0,0,98.55595667870037,96.38989169675091,1.444043321299639,1.083032490974729,0,0.36101083032490977,0,0.7220216606498195,0.7220216606498195,1.444043321299639,0,0,0,0
