OA,ts0440001,ts0440002,ts0440003,ts0440004,ts0440005,ts0440006,ts0440007,ts0440008,ts0440009,ts0440002_PCT,ts0440003_PCT,ts0440004_PCT,ts0440005_PCT,ts0440006_PCT,ts0440007_PCT,ts0440008_PCT,ts0440009_PCT
E00023537,109,0,1,42,26,38,1,1,0,0,0.9174311926605505,38.53211009174312,23.853211009174313,34.862385321100916,0.9174311926605505,0.9174311926605505,0
E00023538,126,0,1,0,124,0,1,0,0,0,0.7936507936507936,0,98.4126984126984,0,0.7936507936507936,0,0
E00023539,139,0,0,0,138,1,0,0,0,0,0,0,99.28057553956835,0.7194244604316548,0,0,0
E00023540,139,0,1,3,105,26,3,1,0,0,0.7194244604316548,2.158273381294964,75.53956834532374,18.705035971223023,2.158273381294964,0.7194244604316548,0
E00023541,129,1,0,1,125,1,0,0,1,0.7751937984496124,0,0.7751937984496124,96.89922480620154,0.7751937984496124,0,0,0.7751937984496124
E00023542,126,0,0,2,94,30,0,0,0,0,0,1.5873015873015872,74.60317460317461,23.809523809523807,0,0,0
E00023543,125,0,0,0,123,2,0,0,0,0,0,0,98.4,1.6,0,0,0
E00023544,88,0,0,0,88,0,0,0,0,0,0,0,100,0,0,0,0
E00023545,113,0,2,36,29,45,1,0,0,0,1.7699115044247788,31.858407079646017,25.663716814159294,39.823008849557525,0.8849557522123894,0,0
E00023546,148,0,0,0,147,0,0,1,0,0,0,0,99.32432432432432,0,0,0.6756756756756757,0
E00023547,109,0,1,0,105,3,0,0,0,0,0.9174311926605505,0,96.3302752293578,2.7522935779816518,0,0,0
E00023548,133,0,0,0,130,1,0,2,0,0,0,0,97.74436090225564,0.7518796992481203,0,1.5037593984962405,0
E00023549,96,0,1,0,92,1,0,1,1,0,1.0416666666666665,0,95.83333333333334,1.0416666666666665,0,1.0416666666666665,1.0416666666666665
E00023550,123,0,0,23,97,3,0,0,0,0,0,18.69918699186992,78.86178861788618,2.4390243902439024,0,0,0
E00023551,130,1,0,0,127,1,1,0,0,0.7692307692307693,0,0,97.6923076923077,0.7692307692307693,0.7692307692307693,0,0
E00023552,125,0,0,0,125,0,0,0,0,0,0,0,100,0,0,0,0
E00023554,118,0,0,0,117,1,0,0,0,0,0,0,99.15254237288136,0.847457627118644,0,0,0
E00023555,121,1,0,0,118,1,0,1,0,0.8264462809917356,0,0,97.52066115702479,0.8264462809917356,0,0.8264462809917356,0
E00023556,109,0,1,6,102,0,0,0,0,0,0.9174311926605505,5.5045871559633035,93.57798165137615,0,0,0,0
E00023557,72,1,1,4,63,0,1,2,0,1.3888888888888888,1.3888888888888888,5.555555555555555,87.5,0,1.3888888888888888,2.7777777777777777,0
E00023558,92,0,0,0,89,1,0,2,0,0,0,0,96.73913043478261,1.0869565217391304,0,2.1739130434782608,0
E00023559,108,2,8,55,33,3,0,6,1,1.8518518518518516,7.4074074074074066,50.92592592592593,30.555555555555557,2.7777777777777777,0,5.555555555555555,0.9259259259259258
E00023560,85,0,5,47,20,10,1,2,0,0,5.88235294117647,55.294117647058826,23.52941176470588,11.76470588235294,1.1764705882352942,2.3529411764705883,0
E00023561,110,0,0,0,101,5,0,4,0,0,0,0,91.81818181818183,4.545454545454546,0,3.6363636363636362,0
E00023562,174,0,0,1,171,1,0,1,0,0,0,0.5747126436781609,98.27586206896551,0.5747126436781609,0,0.5747126436781609,0
E00023564,173,1,0,0,171,1,0,0,0,0.5780346820809248,0,0,98.84393063583815,0.5780346820809248,0,0,0
E00023565,192,1,0,1,188,1,0,1,0,0.5208333333333333,0,0.5208333333333333,97.91666666666666,0.5208333333333333,0,0.5208333333333333,0
E00023566,202,0,0,1,165,6,27,3,0,0,0,0.49504950495049505,81.68316831683168,2.9702970297029703,13.366336633663368,1.4851485148514851,0
E00023567,154,3,5,30,88,16,11,1,0,1.948051948051948,3.2467532467532463,19.480519480519483,57.14285714285714,10.38961038961039,7.142857142857142,0.6493506493506493,0
E00023569,161,1,0,9,141,6,0,3,1,0.6211180124223602,0,5.590062111801243,87.5776397515528,3.7267080745341614,0,1.8633540372670807,0.6211180124223602
E00023570,185,0,0,5,150,21,7,2,0,0,0,2.7027027027027026,81.08108108108108,11.351351351351353,3.783783783783784,1.0810810810810811,0
