OA,ts0230001,ts0230002,ts0230003,ts0230004,ts0230005,ts0230006,ts0230002_PCT,ts0230003_PCT,ts0230004_PCT,ts0230005_PCT,ts0230006_PCT
E00157408,224,55,143,3,23,0,24.553571428571427,63.83928571428571,1.3392857142857142,10.267857142857142,0
E00157409,117,37,67,2,6,5,31.62393162393162,57.26495726495726,1.7094017094017095,5.128205128205128,4.273504273504273
E00157410,220,67,129,6,17,1,30.454545454545457,58.63636363636363,2.727272727272727,7.727272727272727,0.45454545454545453
E00157411,127,33,83,2,7,2,25.984251968503933,65.35433070866141,1.574803149606299,5.511811023622047,1.574803149606299
E00157412,127,55,62,1,7,2,43.30708661417323,48.818897637795274,0.7874015748031495,5.511811023622047,1.574803149606299
E00157413,124,33,78,1,8,4,26.61290322580645,62.903225806451616,0.8064516129032258,6.451612903225806,3.225806451612903
E00157414,114,15,86,0,9,4,13.157894736842104,75.43859649122807,0,7.894736842105263,3.508771929824561
E00157415,126,31,87,3,3,2,24.6031746031746,69.04761904761905,2.380952380952381,2.380952380952381,1.5873015873015872
E00157416,126,19,95,1,10,1,15.079365079365079,75.39682539682539,0.7936507936507936,7.936507936507936,0.7936507936507936
E00157417,124,64,54,0,5,1,51.61290322580645,43.54838709677419,0,4.032258064516129,0.8064516129032258
E00157418,132,20,100,1,11,0,15.151515151515152,75.75757575757575,0.7575757575757576,8.333333333333332,0
E00157419,136,49,76,1,8,2,36.029411764705884,55.88235294117647,0.7352941176470588,5.88235294117647,1.4705882352941175
E00157420,118,36,73,0,7,2,30.508474576271187,61.86440677966102,0,5.932203389830509,1.694915254237288
E00157421,127,40,78,1,8,0,31.496062992125985,61.417322834645674,0.7874015748031495,6.299212598425196,0
E00157422,123,26,86,1,9,1,21.138211382113823,69.91869918699187,0.8130081300813009,7.317073170731707,0.8130081300813009
E00157423,136,32,89,2,12,1,23.52941176470588,65.44117647058823,1.4705882352941175,8.823529411764707,0.7352941176470588
E00157424,133,37,88,0,7,1,27.819548872180448,66.16541353383458,0,5.263157894736842,0.7518796992481203
E00157425,192,59,109,3,16,5,30.729166666666668,56.770833333333336,1.5625,8.333333333333332,2.604166666666667
E00157426,235,48,165,3,16,3,20.425531914893615,70.2127659574468,1.276595744680851,6.808510638297872,1.276595744680851
E00157428,169,58,100,1,7,3,34.319526627218934,59.171597633136095,0.591715976331361,4.142011834319527,1.7751479289940828
E00157429,128,53,67,1,4,3,41.40625,52.34375,0.78125,3.125,2.34375
E00157430,150,62,77,0,8,3,41.333333333333336,51.33333333333333,0,5.333333333333334,2
E00157431,230,84,116,6,18,6,36.52173913043478,50.43478260869565,2.608695652173913,7.82608695652174,2.608695652173913
E00157432,70,14,48,0,6,2,20,68.57142857142857,0,8.571428571428571,2.857142857142857
E00157433,108,51,47,0,7,3,47.22222222222222,43.51851851851852,0,6.481481481481481,2.7777777777777777
E00157434,163,26,117,5,15,0,15.950920245398773,71.77914110429448,3.067484662576687,9.202453987730062,0
E00157435,105,23,78,0,4,0,21.904761904761905,74.28571428571429,0,3.8095238095238098,0
E00157436,105,60,42,0,2,1,57.14285714285714,40,0,1.9047619047619049,0.9523809523809524
E00157437,115,20,84,0,8,3,17.391304347826086,73.04347826086956,0,6.956521739130435,2.608695652173913
E00157438,139,26,95,0,14,4,18.705035971223023,68.34532374100719,0,10.071942446043165,2.877697841726619
E00157439,122,43,71,1,7,0,35.24590163934426,58.19672131147541,0.819672131147541,5.737704918032787,0
E00157440,124,41,70,3,9,1,33.064516129032256,56.451612903225815,2.4193548387096775,7.258064516129033,0.8064516129032258
E00157441,138,71,58,1,7,1,51.449275362318836,42.028985507246375,0.7246376811594203,5.072463768115942,0.7246376811594203
E00157442,154,57,89,2,4,2,37.01298701298701,57.7922077922078,1.2987012987012987,2.5974025974025974,1.2987012987012987
E00157443,169,41,115,2,10,1,24.2603550295858,68.04733727810651,1.183431952662722,5.9171597633136095,0.591715976331361
E00157444,156,46,94,1,15,0,29.48717948717949,60.256410256410255,0.641025641025641,9.615384615384617,0
E00157445,109,24,69,0,14,2,22.018348623853214,63.30275229357798,0,12.844036697247708,1.834862385321101
E00157446,145,40,91,1,13,0,27.586206896551722,62.758620689655174,0.6896551724137931,8.96551724137931,0
E00157447,118,22,74,6,14,2,18.64406779661017,62.71186440677966,5.084745762711865,11.864406779661017,1.694915254237288
E00157448,139,36,89,1,9,4,25.899280575539567,64.02877697841727,0.7194244604316548,6.474820143884892,2.877697841726619
E00157449,141,48,83,1,7,2,34.04255319148936,58.86524822695035,0.7092198581560284,4.964539007092199,1.4184397163120568
E00157450,71,11,49,1,6,4,15.492957746478872,69.01408450704226,1.4084507042253522,8.450704225352112,5.633802816901409
E00157451,117,24,77,0,13,3,20.51282051282051,65.8119658119658,0,11.11111111111111,2.564102564102564
E00157452,192,51,129,0,10,2,26.5625,67.1875,0,5.208333333333334,1.0416666666666665
E00157453,116,25,76,0,12,3,21.551724137931032,65.51724137931035,0,10.344827586206897,2.586206896551724
E00157454,102,20,68,1,11,2,19.607843137254903,66.66666666666666,0.9803921568627451,10.784313725490197,1.9607843137254901
E00157455,148,25,110,1,9,3,16.89189189189189,74.32432432432432,0.6756756756756757,6.081081081081082,2.027027027027027
E00157456,172,50,107,2,13,0,29.069767441860467,62.2093023255814,1.1627906976744187,7.55813953488372,0
E00157457,138,45,81,0,10,2,32.608695652173914,58.69565217391305,0,7.246376811594203,1.4492753623188406
E00157458,143,35,85,2,18,3,24.475524475524477,59.44055944055944,1.3986013986013985,12.587412587412588,2.097902097902098
E00157459,131,11,95,3,18,4,8.396946564885496,72.51908396946564,2.2900763358778624,13.740458015267176,3.0534351145038165
E00157460,139,18,111,0,8,2,12.949640287769784,79.85611510791367,0,5.755395683453238,1.4388489208633095
E00157461,123,30,78,4,11,0,24.390243902439025,63.41463414634146,3.2520325203252036,8.94308943089431,0
E00157462,134,19,94,2,18,1,14.17910447761194,70.1492537313433,1.4925373134328357,13.432835820895523,0.7462686567164178
E00157463,123,28,77,4,13,1,22.76422764227642,62.601626016260155,3.2520325203252036,10.569105691056912,0.8130081300813009
E00157464,144,38,86,1,17,2,26.38888888888889,59.72222222222222,0.6944444444444444,11.805555555555555,1.3888888888888888
E00157465,132,28,87,3,10,4,21.21212121212121,65.9090909090909,2.272727272727273,7.575757575757576,3.0303030303030303
E00157466,134,19,100,2,11,2,14.17910447761194,74.6268656716418,1.4925373134328357,8.208955223880597,1.4925373134328357
E00157467,133,28,92,0,13,0,21.052631578947366,69.17293233082707,0,9.774436090225564,0
E00157468,144,19,103,0,18,4,13.194444444444445,71.52777777777779,0,12.5,2.7777777777777777
