OA,ts0190001,ts0190002,ts0190003,ts0190004,ts0190005,ts0190002_PCT,ts0190003_PCT,ts0190004_PCT,ts0190005_PCT
E00092944,316,277,0,39,0,87.65822784810126,0,12.341772151898734,0
E00092945,381,351,2,28,0,92.1259842519685,0.5249343832020997,7.349081364829396,0
E00174355,336,308,1,27,0,91.66666666666666,0.2976190476190476,8.035714285714286,0
E00174357,250,230,0,20,0,92,0,8,0
E00184570,431,386,0,43,2,89.55916473317865,0,9.976798143851507,0.46403712296983757
E00184621,179,152,2,24,1,84.91620111731844,1.1173184357541899,13.40782122905028,0.5586592178770949
E00092950,263,241,4,18,0,91.63498098859316,1.520912547528517,6.844106463878327,0
E00092955,236,219,1,16,0,92.79661016949152,0.423728813559322,6.779661016949152,0
E00092957,183,160,0,23,0,87.43169398907104,0,12.568306010928962,0
E00174400,265,245,0,20,0,92.45283018867924,0,7.547169811320755,0
E00174417,317,294,0,20,3,92.74447949526814,0,6.309148264984227,0.9463722397476341
E00092946,278,259,1,17,1,93.16546762589928,0.3597122302158274,6.115107913669065,0.3597122302158274
E00092960,540,508,1,26,5,94.07407407407408,0.1851851851851852,4.814814814814815,0.9259259259259258
E00092962,275,241,0,34,0,87.63636363636364,0,12.363636363636363,0
E00092963,247,227,0,20,0,91.90283400809717,0,8.097165991902834,0
E00092947,302,284,0,18,0,94.03973509933775,0,5.960264900662252,0
E00092952,334,319,2,13,0,95.50898203592814,0.5988023952095809,3.8922155688622757,0
E00092953,297,279,0,18,0,93.93939393939394,0,6.0606060606060606,0
E00092964,310,287,0,23,0,92.58064516129032,0,7.419354838709677,0
E00092965,234,219,2,11,2,93.58974358974359,0.8547008547008548,4.700854700854701,0.8547008547008548
E00092818,269,251,0,18,0,93.3085501858736,0,6.691449814126393,0
E00092820,230,213,1,16,0,92.6086956521739,0.43478260869565216,6.956521739130435,0
E00092822,275,258,0,15,2,93.81818181818183,0,5.454545454545454,0.7272727272727273
E00092823,471,419,2,50,0,88.95966029723992,0.42462845010615713,10.615711252653929,0
E00184561,399,358,0,39,2,89.72431077694235,0,9.774436090225564,0.5012531328320802
E00184601,281,250,1,30,0,88.96797153024912,0.3558718861209964,10.676156583629894,0
E00092813,246,221,0,25,0,89.83739837398373,0,10.16260162601626,0
E00092815,278,260,0,16,2,93.5251798561151,0,5.755395683453238,0.7194244604316548
E00092816,307,282,0,24,1,91.85667752442997,0,7.81758957654723,0.32573289902280134
E00092817,294,280,0,12,2,95.23809523809523,0,4.081632653061225,0.6802721088435374
E00092821,319,298,1,20,0,93.41692789968651,0.3134796238244514,6.269592476489027,0
E00092841,407,383,0,23,1,94.1031941031941,0,5.651105651105651,0.2457002457002457
E00092842,358,336,0,22,0,93.85474860335195,0,6.145251396648044,0
E00092845,321,294,0,26,1,91.58878504672897,0,8.09968847352025,0.3115264797507788
E00092848,347,296,0,51,0,85.30259365994236,0,14.697406340057636,0
E00092851,362,333,1,28,0,91.9889502762431,0.2762430939226519,7.734806629834254,0
E00092852,256,241,0,10,5,94.140625,0,3.90625,1.953125
E00184544,439,392,1,43,3,89.29384965831434,0.22779043280182232,9.79498861047836,0.683371298405467
E00092843,346,332,0,10,4,95.95375722543352,0,2.8901734104046244,1.1560693641618496
E00092846,310,289,0,20,1,93.2258064516129,0,6.451612903225806,0.3225806451612903
E00092847,304,280,0,23,1,92.10526315789474,0,7.565789473684211,0.3289473684210526
E00092849,362,346,0,16,0,95.58011049723757,0,4.41988950276243,0
E00092850,302,273,1,28,0,90.39735099337747,0.33112582781456956,9.271523178807946,0
E00092825,208,186,0,20,2,89.42307692307693,0,9.615384615384617,0.9615384615384616
E00092829,265,218,2,42,3,82.26415094339623,0.7547169811320755,15.849056603773585,1.1320754716981132
E00092832,199,191,0,8,0,95.97989949748744,0,4.0201005025125625,0
E00092835,279,263,0,16,0,94.26523297491039,0,5.734767025089606,0
E00092836,257,231,0,24,2,89.88326848249028,0,9.33852140077821,0.7782101167315175
E00092838,229,213,0,15,1,93.01310043668121,0,6.550218340611353,0.43668122270742354
E00092826,276,249,0,25,2,90.21739130434783,0,9.057971014492754,0.7246376811594203
E00092828,230,193,1,36,0,83.91304347826087,0.43478260869565216,15.65217391304348,0
E00092830,321,291,1,27,2,90.65420560747664,0.3115264797507788,8.411214953271028,0.6230529595015576
