OA,ts0610001,ts0610002,ts0610003,ts0610004,ts0610005,ts0610006,ts0610007,ts0610008,ts0610009,ts0610010,ts0610011,ts0610012,ts0610002_PCT,ts0610003_PCT,ts0610004_PCT,ts0610005_PCT,ts0610006_PCT,ts0610007_PCT,ts0610008_PCT,ts0610009_PCT,ts0610010_PCT,ts0610011_PCT,ts0610012_PCT
E00067178,107,6,0,0,3,1,1,59,2,13,21,1,5.607476635514018,0,0,2.803738317757009,0.9345794392523363,0.9345794392523363,55.140186915887845,1.8691588785046727,12.149532710280374,19.626168224299064,0.9345794392523363
E00067179,147,19,0,0,3,0,0,92,10,9,12,2,12.925170068027212,0,0,2.0408163265306123,0,0,62.585034013605444,6.802721088435375,6.122448979591836,8.16326530612245,1.3605442176870748
E00067180,76,8,0,0,0,1,0,57,1,2,5,2,10.526315789473683,0,0,0,1.3157894736842104,0,75,1.3157894736842104,2.631578947368421,6.578947368421052,2.631578947368421
E00067181,113,10,0,0,1,0,0,67,9,8,17,1,8.849557522123893,0,0,0.8849557522123894,0,0,59.29203539823009,7.964601769911504,7.079646017699115,15.04424778761062,0.8849557522123894
E00067182,169,13,0,0,4,0,0,112,9,5,23,3,7.6923076923076925,0,0,2.366863905325444,0,0,66.27218934911244,5.325443786982249,2.9585798816568047,13.609467455621301,1.7751479289940828
E00067183,126,8,0,1,4,1,3,71,15,6,14,3,6.349206349206349,0,0.7936507936507936,3.1746031746031744,0.7936507936507936,2.380952380952381,56.34920634920635,11.904761904761903,4.761904761904762,11.11111111111111,2.380952380952381
E00067184,115,15,0,0,3,0,1,68,12,8,8,0,13.043478260869565,0,0,2.608695652173913,0,0.8695652173913043,59.130434782608695,10.434782608695652,6.956521739130435,6.956521739130435,0
E00067185,115,8,0,0,3,2,1,63,14,10,14,0,6.956521739130435,0,0,2.608695652173913,1.7391304347826086,0.8695652173913043,54.78260869565217,12.173913043478262,8.695652173913043,12.173913043478262,0
E00067186,140,22,0,0,0,2,1,82,16,5,12,0,15.714285714285714,0,0,0,1.4285714285714286,0.7142857142857143,58.57142857142858,11.428571428571429,3.571428571428571,8.571428571428571,0
E00067187,69,3,0,0,5,1,0,33,9,7,11,0,4.3478260869565215,0,0,7.246376811594203,1.4492753623188406,0,47.82608695652174,13.043478260869565,10.144927536231885,15.942028985507244,0
E00067188,143,3,0,0,5,1,1,90,15,16,10,2,2.097902097902098,0,0,3.4965034965034967,0.6993006993006993,0.6993006993006993,62.93706293706294,10.48951048951049,11.188811188811188,6.993006993006993,1.3986013986013985
E00067189,161,15,0,0,5,1,1,108,16,3,11,1,9.316770186335404,0,0,3.1055900621118013,0.6211180124223602,0.6211180124223602,67.08074534161491,9.937888198757763,1.8633540372670807,6.832298136645963,0.6211180124223602
E00067190,96,7,0,0,4,2,0,49,9,10,12,3,7.291666666666667,0,0,4.166666666666666,2.083333333333333,0,51.041666666666664,9.375,10.416666666666668,12.5,3.125
E00067191,133,10,0,0,4,0,2,94,7,6,10,0,7.518796992481203,0,0,3.007518796992481,0,1.5037593984962405,70.67669172932331,5.263157894736842,4.511278195488721,7.518796992481203,0
E00067192,101,10,0,0,3,0,0,51,9,5,21,2,9.900990099009901,0,0,2.9702970297029703,0,0,50.495049504950494,8.91089108910891,4.9504950495049505,20.792079207920793,1.9801980198019802
E00067193,126,6,0,0,7,1,4,52,9,15,31,1,4.761904761904762,0,0,5.555555555555555,0.7936507936507936,3.1746031746031744,41.269841269841265,7.142857142857142,11.904761904761903,24.6031746031746,0.7936507936507936
E00067194,177,12,0,0,2,1,2,111,20,8,18,3,6.779661016949152,0,0,1.1299435028248588,0.5649717514124294,1.1299435028248588,62.71186440677966,11.299435028248588,4.519774011299435,10.16949152542373,1.694915254237288
E00067195,171,11,0,1,3,1,1,101,14,11,28,0,6.432748538011696,0,0.5847953216374269,1.7543859649122806,0.5847953216374269,0.5847953216374269,59.06432748538012,8.187134502923977,6.432748538011696,16.374269005847953,0
E00067196,153,33,0,0,0,0,0,100,4,7,9,0,21.568627450980394,0,0,0,0,0,65.359477124183,2.6143790849673203,4.57516339869281,5.88235294117647,0
E00067197,139,17,0,0,1,0,0,91,6,6,13,5,12.23021582733813,0,0,0.7194244604316548,0,0,65.46762589928058,4.316546762589928,4.316546762589928,9.352517985611511,3.5971223021582732
E00067198,137,27,0,1,1,0,0,93,2,4,9,0,19.708029197080293,0,0.7299270072992701,0.7299270072992701,0,0,67.88321167883211,1.4598540145985401,2.9197080291970803,6.569343065693431,0
E00067199,170,39,0,0,1,0,2,105,10,0,12,1,22.941176470588236,0,0,0.5882352941176471,0,1.1764705882352942,61.76470588235294,5.88235294117647,0,7.0588235294117645,0.5882352941176471
E00067200,219,40,0,0,1,0,0,133,12,12,19,2,18.2648401826484,0,0,0.45662100456621,0,0,60.73059360730594,5.47945205479452,5.47945205479452,8.67579908675799,0.91324200913242
E00067201,123,16,0,1,2,1,0,82,7,5,9,0,13.008130081300814,0,0.8130081300813009,1.6260162601626018,0.8130081300813009,0,66.66666666666666,5.691056910569105,4.0650406504065035,7.317073170731707,0
E00067202,152,32,0,0,0,0,1,95,11,3,9,1,21.052631578947366,0,0,0,0,0.6578947368421052,62.5,7.236842105263158,1.9736842105263157,5.921052631578947,0.6578947368421052
E00067203,84,4,0,0,0,3,0,48,11,5,10,3,4.761904761904762,0,0,0,3.571428571428571,0,57.14285714285714,13.095238095238097,5.952380952380952,11.904761904761903,3.571428571428571
E00067204,150,21,0,1,3,2,0,93,7,8,12,3,14.000000000000002,0,0.6666666666666667,2,1.3333333333333335,0,62,4.666666666666667,5.333333333333334,8,2
E00067205,76,4,0,1,4,0,0,52,4,2,9,0,5.263157894736842,0,1.3157894736842104,5.263157894736842,0,0,68.42105263157895,5.263157894736842,2.631578947368421,11.842105263157894,0
E00067206,137,23,0,0,1,0,0,85,13,3,12,0,16.78832116788321,0,0,0.7299270072992701,0,0,62.04379562043796,9.48905109489051,2.18978102189781,8.75912408759124,0
E00067207,117,15,0,0,0,0,0,84,4,8,5,1,12.82051282051282,0,0,0,0,0,71.7948717948718,3.418803418803419,6.837606837606838,4.273504273504273,0.8547008547008548
E00067208,155,23,0,0,3,1,1,100,11,6,10,0,14.838709677419354,0,0,1.935483870967742,0.6451612903225806,0.6451612903225806,64.51612903225806,7.096774193548387,3.870967741935484,6.451612903225806,0
E00067209,114,6,0,0,4,0,0,71,13,7,12,1,5.263157894736842,0,0,3.508771929824561,0,0,62.28070175438597,11.403508771929824,6.140350877192982,10.526315789473683,0.8771929824561403
E00067210,141,14,0,0,0,0,1,85,12,12,17,0,9.929078014184398,0,0,0,0,0.7092198581560284,60.28368794326241,8.51063829787234,8.51063829787234,12.056737588652481,0
E00067211,63,2,0,0,4,0,1,35,4,9,8,0,3.1746031746031744,0,0,6.349206349206349,0,1.5873015873015872,55.55555555555556,6.349206349206349,14.285714285714285,12.698412698412698,0
E00067212,81,11,0,0,0,1,0,53,6,3,7,0,13.580246913580247,0,0,0,1.2345679012345678,0,65.4320987654321,7.4074074074074066,3.7037037037037033,8.641975308641975,0
E00067213,142,14,0,0,1,0,0,96,14,8,8,1,9.859154929577464,0,0,0.7042253521126761,0,0,67.6056338028169,9.859154929577464,5.633802816901409,5.633802816901409,0.7042253521126761
E00067214,145,18,0,2,3,0,2,92,11,2,15,0,12.413793103448276,0,1.3793103448275863,2.0689655172413794,0,1.3793103448275863,63.44827586206897,7.586206896551724,1.3793103448275863,10.344827586206897,0
E00067215,150,35,0,0,2,0,0,95,6,6,6,0,23.333333333333332,0,0,1.3333333333333335,0,0,63.33333333333333,4,4,4,0
E00067216,131,8,0,0,0,1,3,83,6,11,17,2,6.106870229007633,0,0,0,0.7633587786259541,2.2900763358778624,63.358778625954194,4.580152671755725,8.396946564885496,12.977099236641221,1.5267175572519083
E00067217,178,17,0,0,2,2,2,115,20,9,8,3,9.550561797752808,0,0,1.1235955056179776,1.1235955056179776,1.1235955056179776,64.60674157303372,11.235955056179774,5.056179775280898,4.49438202247191,1.6853932584269662
E00067218,70,14,0,0,0,0,1,38,3,8,5,1,20,0,0,0,0,1.4285714285714286,54.285714285714285,4.285714285714286,11.428571428571429,7.142857142857142,1.4285714285714286
E00067219,52,4,0,0,2,0,0,26,3,6,11,0,7.6923076923076925,0,0,3.8461538461538463,0,0,50,5.769230769230769,11.538461538461538,21.153846153846153,0
E00067221,164,25,0,0,3,1,2,110,8,6,9,0,15.24390243902439,0,0,1.8292682926829267,0.6097560975609756,1.2195121951219512,67.07317073170732,4.878048780487805,3.6585365853658534,5.487804878048781,0
E00067222,143,10,0,0,8,2,1,74,20,4,21,3,6.993006993006993,0,0,5.594405594405594,1.3986013986013985,0.6993006993006993,51.74825174825175,13.986013986013987,2.797202797202797,14.685314685314685,2.097902097902098
