OA,ts0210001,ts0210002,ts0210003,ts0210004,ts0210005,ts0210006,ts0210007,ts0210008,ts0210009,ts0210010,ts0210011,ts0210012,ts0210013,ts0210014,ts0210015,ts0210016,ts0210017,ts0210018,ts0210019,ts0210020,ts0210021,ts0210022,ts0210023,ts0210024,ts0210025,ts0210002_PCT,ts0210003_PCT,ts0210004_PCT,ts0210005_PCT,ts0210006_PCT,ts0210007_PCT,ts0210008_PCT,ts0210009_PCT,ts0210010_PCT,ts0210011_PCT,ts0210012_PCT,ts0210013_PCT,ts0210014_PCT,ts0210015_PCT,ts0210016_PCT,ts0210017_PCT,ts0210018_PCT,ts0210019_PCT,ts0210020_PCT,ts0210021_PCT,ts0210022_PCT,ts0210023_PCT,ts0210024_PCT,ts0210025_PCT
W00007088,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,323,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.49849849849849,96.996996996997,0,0,0,1.5015015015015014,1.5015015015015014,0,1.5015015015015014
W00007089,305,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,303,301,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6557377049180327,0,0,0,0.6557377049180327,99.34426229508196,98.68852459016394,0.32786885245901637,0,0,0.32786885245901637,0,0,0
W00007090,291,3,0,0,3,0,0,0,0,0,0,1,0,1,0,0,287,277,0,0,0,10,0,0,0,1.0309278350515463,0,0,1.0309278350515463,0,0,0,0,0,0,0.3436426116838488,0,0.3436426116838488,0,0,98.62542955326461,95.1890034364261,0,0,0,3.436426116838488,0,0,0
W00007091,287,0,0,0,0,0,0,0,0,0,0,7,1,1,1,4,280,279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4390243902439024,0.34843205574912894,0.34843205574912894,0.34843205574912894,1.3937282229965158,97.5609756097561,97.21254355400697,0.34843205574912894,0,0,0,0,0,0
W00007092,179,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,175,174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2346368715083798,0,0,0.5586592178770949,1.675977653631285,97.76536312849163,97.20670391061452,0.5586592178770949,0,0,0,0,0,0
W00007093,311,4,3,0,0,0,1,1,1,0,0,5,2,0,0,3,300,296,1,0,0,3,1,0,1,1.2861736334405145,0.964630225080386,0,0,0,0.3215434083601286,0.3215434083601286,0.3215434083601286,0,0,1.607717041800643,0.6430868167202572,0,0,0.964630225080386,96.46302250803859,95.17684887459808,0.3215434083601286,0,0,0.964630225080386,0.3215434083601286,0,0.3215434083601286
W00007094,286,3,1,0,2,0,0,1,0,1,0,1,1,0,0,0,280,280,0,0,0,0,1,0,1,1.048951048951049,0.34965034965034963,0,0.6993006993006993,0,0,0.34965034965034963,0,0.34965034965034963,0,0.34965034965034963,0.34965034965034963,0,0,0,97.9020979020979,97.9020979020979,0,0,0,0,0.34965034965034963,0,0.34965034965034963
W00007095,323,13,0,2,4,0,7,0,0,0,0,0,0,0,0,0,310,294,2,0,0,14,0,0,0,4.024767801857585,0,0.6191950464396285,1.238390092879257,0,2.1671826625387,0,0,0,0,0,0,0,0,0,95.97523219814241,91.02167182662538,0.6191950464396285,0,0,4.3343653250774,0,0,0
W00007096,267,3,0,0,2,0,1,0,0,0,0,3,3,0,0,0,260,259,1,0,0,0,1,0,1,1.1235955056179776,0,0,0.7490636704119851,0,0.37453183520599254,0,0,0,0,1.1235955056179776,1.1235955056179776,0,0,0,97.37827715355806,97.00374531835206,0.37453183520599254,0,0,0,0.37453183520599254,0,0.37453183520599254
W00007097,291,7,0,1,0,0,6,1,1,0,0,0,0,0,0,0,282,276,0,0,0,6,1,0,1,2.405498281786942,0,0.3436426116838488,0,0,2.0618556701030926,0.3436426116838488,0.3436426116838488,0,0,0,0,0,0,0,96.90721649484536,94.84536082474226,0,0,0,2.0618556701030926,0.3436426116838488,0,0.3436426116838488
