OA,ts0660001,ts0660002,ts0660003,ts0660004,ts0660005,ts0660006,ts0660007,ts0660008,ts0660009,ts0660010,ts0660011,ts0660012,ts0660013,ts0660014,ts0660015,ts0660016,ts0660017,ts0660018,ts0660019,ts0660020,ts0660021,ts0660022,ts0660023,ts0660024,ts0660025,ts0660026,ts0660027,ts0660028,ts0660029,ts0660030,ts0660031,ts0660002_PCT,ts0660003_PCT,ts0660004_PCT,ts0660005_PCT,ts0660006_PCT,ts0660007_PCT,ts0660008_PCT,ts0660009_PCT,ts0660010_PCT,ts0660011_PCT,ts0660012_PCT,ts0660013_PCT,ts0660014_PCT,ts0660015_PCT,ts0660016_PCT,ts0660017_PCT,ts0660018_PCT,ts0660019_PCT,ts0660020_PCT,ts0660021_PCT,ts0660022_PCT,ts0660023_PCT,ts0660024_PCT,ts0660025_PCT,ts0660026_PCT,ts0660027_PCT,ts0660028_PCT,ts0660029_PCT,ts0660030_PCT,ts0660031_PCT
E00111843,206,150,145,119,21,98,7,3,4,19,12,7,5,1,1,1,1,0,0,0,0,0,0,0,0,55,32,3,5,11,4,72.81553398058253,70.3883495145631,57.76699029126213,10.194174757281553,47.57281553398058,3.3980582524271843,1.4563106796116505,1.9417475728155338,9.223300970873787,5.825242718446602,3.3980582524271843,2.4271844660194173,0.48543689320388345,0.48543689320388345,0.48543689320388345,0.48543689320388345,0,0,0,0,0,0,0,0,26.699029126213592,15.53398058252427,1.4563106796116505,2.4271844660194173,5.339805825242718,1.9417475728155338
E00111844,290,169,164,115,38,77,9,0,9,40,22,18,5,4,4,4,4,0,0,0,0,0,0,0,0,117,88,5,6,12,6,58.27586206896552,56.55172413793104,39.6551724137931,13.10344827586207,26.551724137931032,3.103448275862069,0,3.103448275862069,13.793103448275861,7.586206896551724,6.206896551724138,1.7241379310344827,1.3793103448275863,1.3793103448275863,1.3793103448275863,1.3793103448275863,0,0,0,0,0,0,0,0,40.3448275862069,30.344827586206897,1.7241379310344827,2.0689655172413794,4.137931034482759,2.0689655172413794
E00111845,228,109,105,77,16,61,4,1,3,24,7,17,4,7,6,6,4,2,0,0,0,0,0,0,1,112,90,3,14,1,4,47.80701754385965,46.05263157894737,33.771929824561404,7.017543859649122,26.75438596491228,1.7543859649122806,0.43859649122807015,1.3157894736842104,10.526315789473683,3.070175438596491,7.456140350877193,1.7543859649122806,3.070175438596491,2.631578947368421,2.631578947368421,1.7543859649122806,0.8771929824561403,0,0,0,0,0,0,0.43859649122807015,49.122807017543856,39.473684210526315,1.3157894736842104,6.140350877192982,0.43859649122807015,1.7543859649122806
E00111846,233,115,110,82,28,54,2,0,2,26,12,14,5,2,1,1,1,0,0,0,0,0,0,0,1,116,85,6,11,9,5,49.35622317596567,47.21030042918455,35.1931330472103,12.017167381974248,23.17596566523605,0.8583690987124464,0,0.8583690987124464,11.158798283261802,5.150214592274678,6.008583690987124,2.1459227467811157,0.8583690987124464,0.4291845493562232,0.4291845493562232,0.4291845493562232,0,0,0,0,0,0,0,0.4291845493562232,49.78540772532189,36.48068669527897,2.575107296137339,4.721030042918455,3.862660944206009,2.1459227467811157
E00111847,299,159,152,113,40,73,6,1,5,33,12,21,7,5,5,5,5,0,0,0,0,0,0,0,0,135,87,8,13,21,6,53.17725752508361,50.836120401337794,37.79264214046823,13.377926421404682,24.414715719063544,2.0066889632107023,0.33444816053511706,1.6722408026755853,11.036789297658862,4.013377926421405,7.023411371237458,2.341137123745819,1.6722408026755853,1.6722408026755853,1.6722408026755853,1.6722408026755853,0,0,0,0,0,0,0,0,45.1505016722408,29.09698996655518,2.6755852842809364,4.3478260869565215,7.023411371237458,2.0066889632107023
E00111848,282,78,72,64,27,37,3,0,3,5,1,4,6,1,0,0,0,0,0,0,0,0,0,0,1,203,165,0,6,24,8,27.659574468085108,25.53191489361702,22.69503546099291,9.574468085106384,13.120567375886525,1.0638297872340425,0,1.0638297872340425,1.773049645390071,0.3546099290780142,1.4184397163120568,2.127659574468085,0.3546099290780142,0,0,0,0,0,0,0,0,0,0,0.3546099290780142,71.98581560283688,58.51063829787234,0,2.127659574468085,8.51063829787234,2.8368794326241136
E00111849,244,108,103,79,28,51,4,2,2,20,10,10,5,2,1,1,0,1,0,0,0,0,0,0,1,134,78,15,13,19,9,44.26229508196721,42.21311475409836,32.37704918032787,11.475409836065573,20.901639344262296,1.639344262295082,0.819672131147541,0.819672131147541,8.19672131147541,4.098360655737705,4.098360655737705,2.0491803278688523,0.819672131147541,0.4098360655737705,0.4098360655737705,0,0.4098360655737705,0,0,0,0,0,0,0.4098360655737705,54.91803278688525,31.967213114754102,6.147540983606557,5.327868852459016,7.786885245901639,3.6885245901639343
E00111850,321,138,133,92,33,59,9,2,7,32,15,17,5,0,0,0,0,0,0,0,0,0,0,0,0,183,127,13,16,16,11,42.99065420560748,41.43302180685358,28.66043613707165,10.2803738317757,18.38006230529595,2.803738317757009,0.6230529595015576,2.1806853582554515,9.968847352024921,4.672897196261682,5.29595015576324,1.557632398753894,0,0,0,0,0,0,0,0,0,0,0,0,57.009345794392516,39.56386292834891,4.049844236760125,4.984423676012461,4.984423676012461,3.4267912772585665
E00111851,276,162,159,122,46,76,6,1,5,31,18,13,3,1,0,0,0,0,0,0,0,0,0,0,1,113,80,10,12,6,5,58.69565217391305,57.608695652173914,44.20289855072464,16.666666666666664,27.536231884057973,2.1739130434782608,0.36231884057971014,1.8115942028985508,11.231884057971014,6.521739130434782,4.710144927536232,1.0869565217391304,0.36231884057971014,0,0,0,0,0,0,0,0,0,0,0.36231884057971014,40.94202898550724,28.985507246376812,3.6231884057971016,4.3478260869565215,2.1739130434782608,1.8115942028985508
E00111852,254,100,87,68,21,47,5,3,2,14,5,9,13,1,0,0,0,0,0,0,0,0,0,0,1,153,133,3,7,4,6,39.37007874015748,34.25196850393701,26.77165354330709,8.267716535433072,18.503937007874015,1.968503937007874,1.1811023622047243,0.7874015748031495,5.511811023622047,1.968503937007874,3.543307086614173,5.118110236220472,0.39370078740157477,0,0,0,0,0,0,0,0,0,0,0.39370078740157477,60.23622047244095,52.362204724409445,1.1811023622047243,2.7559055118110236,1.574803149606299,2.3622047244094486
